trial_type,trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
interactor,16,6.25,135_top_u,False,,,,False,,True,False,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,17,6.25,135_top_l,False,,,4.328742333338596,True,[0.45  0.45  0.675],True,False,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,18,6.25,none_u,False,,,,False,,True,True,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,19,6.25,none_r,True,4.008179666707292,right,,False,,False,False,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,20,6.0,45_top_r,False,,,4.2933100833324715,True,[0.45  0.45  0.675],True,False,right,True,0.5225827083922923,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,21,6.0,135_top_u,True,4.019100083387457,,4.327992249978706,True,[0.45  0.45  0.675],False,True,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,22,6.0,none_r,True,4.062955249915831,right,,False,,False,False,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,23,6.25,45_bottom_d,False,,,4.318459583329968,True,[0.45  0.45  0.675],True,False,down,True,0.5527152499416843,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,24,6.0,45_bottom_d,True,4.025284708244726,,,False,,False,True,right,False,0.40819300001021475,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,25,6.5,none_u,False,,,4.330854875035584,True,[0.45  0.45  0.675],True,True,up,True,0.54669841658324,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,26,6.5,45_bottom_l,False,,,4.310106249991804,True,[0.45  0.45  0.675],True,False,left,True,0.8366817916976288,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,27,6.25,135_bottom_d,True,4.036434708163142,,,False,,False,True,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,28,6.5,45_bottom_d,True,4.082649708376266,,,False,,False,True,,,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,29,6.5,none_r,False,,,,False,,True,True,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,30,6.0,none_d,True,4.033969666692428,right,4.342017458286136,True,[0.45  0.45  0.675],False,False,left,True,0.5745323749724776,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
interactor,31,6.25,45_top_u,True,4.020158916711807,,,False,,False,True,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,32,6.0,135_bottom_r,True,4.025688791763969,,,False,,False,True,,,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,33,6.5,45_top_r,False,,,4.3165104584768414,True,[0.45  0.45  0.675],True,False,right,True,0.5000443749595433,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
empty,34,6.25,none_u,True,4.013774499995634,left,4.313906666706316,True,[0.45  0.45  0.675],False,False,left,True,0.48133383330423385,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
empty,35,6.5,none_r,True,4.038922916632146,right,4.343661500024609,True,[0.45  0.45  0.675],False,False,,False,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
empty,36,6.0,none_l,True,4.028443458373658,left,,False,,False,False,,,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,37,6.5,135_top_l,True,4.051293791620992,,,False,,False,True,,,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,38,6.0,45_bottom_l,True,4.021940166596323,,,False,,False,True,up,False,0.5602150834165514,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,39,6.5,135_bottom_r,True,4.052304708282463,,4.36358429165557,True,[0.45  0.45  0.675],False,True,up,True,0.42811987502500415,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,40,6.25,none_d,True,4.026667083380744,right,4.322727708378807,True,[0.45  0.45  0.675],False,False,left,True,0.42450041661504656,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
