trial_type,trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
interactor,27,6.0,45_bottom_l,True,3.943532583420165,,,False,,False,True,up,False,0.3884656250011176,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,28,6.25,45_top_r,False,,,4.225641083321534,True,[0.45  0.45  0.695],True,False,right,True,0.5342789583373815,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
empty,29,6.0,none_r,True,3.9561544166645035,right,,False,,False,False,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,30,6.5,135_bottom_d,True,3.9589727082056925,,,False,,False,True,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,31,6.0,45_top_r,True,3.946640875074081,,,False,,False,True,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,32,6.25,none_d,True,3.944315041648224,right,4.217775500030257,True,[0.45  0.45  0.695],False,False,left,True,0.4907745834207162,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
interactor,33,6.5,45_bottom_l,False,,,4.3277015833882615,True,[0.45  0.45  0.695],True,False,left,True,0.5537090415600687,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
empty,34,6.0,none_l,False,,,4.209026208380237,True,[0.45  0.45  0.695],True,True,left,True,0.43935954151675105,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,35,6.0,none_r,True,3.9409786666510627,right,4.214426041580737,True,[0.45  0.45  0.695],False,False,down,True,0.47207300004083663,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,36,6.5,135_bottom_r,False,,,4.2265825000358745,True,[0.45  0.45  0.695],True,False,right,True,0.5010185415158048,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
empty,37,6.0,none_u,True,3.931867750012316,left,,False,,False,False,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,38,6.5,45_top_u,False,,,4.217166500049643,True,[0.45  0.45  0.695],True,False,up,True,0.5476150834001601,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,39,6.0,none_d,True,3.950562124955468,right,,False,,False,False,left,False,0.6924306249711663,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
interactor,40,6.25,45_bottom_d,True,3.9640307083027437,,,False,,False,True,,,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,41,6.0,45_top_u,True,4.052378083346412,,4.369393666740507,True,[0.45  0.45  0.695],False,True,left,True,0.4743777500698343,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,42,6.25,45_top_u,False,,,,False,,True,False,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
